Style;Size(L);OG;FG;ABV;IBU;Color;BoilSize;BoilTime;BoilGravity;Efficiency;MashThickness;PitchRate;PrimaryTemp
American IPA;379;150083;262839;668;4984;677;681;60;85;700;15;;200
American IPA;3028;1068;1015;702;11601;555;3407;60;1061;670;125;;1944
American IPA;2082;1064;1016;622;0;702;2839;60;1047;750;15;5;200
American Amber Ale;190;1055;1015;539;4019;972;210;60;105;350;;;190
American IPA;250;1062;1014;626;6943;1081;288;90;1053;700;;;190
American IPA;1325;1071;1013;758;6761;561;1703;60;1055;700;15;75;1778
American IPA;1893;1075;102;73;8802;465;265;60;1054;700;15;;
American Light Lager;350;1051;1013;499;0;293;420;60;1042;800;30;;
American IPA;1893;1067;1,019E+16;634;6613;1196;1136;60;;700;;;
Irish Red Ale;550;1054;1013;533;2091;1296;625;70;1047;700;27;10;200
Saison;208;1054;1004;654;3041;555;265;60;1043;650;;;240
American Amber Ale;500;1058;1011;617;3734;821;700;60;1041;800;30;75;200
American IPA;200;1,066E+16;1016;654;7161;603;247;70;1053;740;25;;
American Pale Ale;2082;1056;101;608;4664;586;2461;60;1048;750;15;;2333
American IPA;2082;1056;1011;595;0;513;2839;60;1041;700;14;;200
American Pale Ale;210;1,059E+16;1013;613;9408;1152;260;60;1048;550;;75;200
Imperial IPA;1893;1085;1025;848;6218;1587;2271;90;1071;700;125;;200
American IPA;3028;1,066E+16;1023;563;9501;969;3218;60;1062;740;14;;200
American Amber Ale;2082;1047;1,009E+16;501;2982;1226;2839;90;;700;;;
Saison;440;1045;1008;483;1126;364;480;60;1041;800;25;;350
Blonde Ale;1987;1045;1011;446;3178;347;2839;60;1032;660;133;;
American Pale Ale;2082;1055;101;594;2433;649;265;60;1043;800;13;;2111
Blonde Ale;550;1046;1008;503;1911;377;800;90;1032;680;;;
Saison;946;1048;1008;515;3245;288;946;60;1048;350;;;
American IPA;1136;1061;1015;597;4847;724;1325;60;1052;600;15;;
American IPA;2271;1078;1022;736;781;582;3028;90;1058;750;15;35;2111
American IPA;123;1071;1022;651;5797;762;2177;60;104;750;125;35;1889
American IPA;4542;108;1,019E+16;803;22054;733;5489;90;1,066E+16;350;;10;
American Pale Ale;230;1055;1012;574;5103;907;280;60;1046;740;31;10;200
American Light Lager;260;105;1,007E+16;56;1086;266;300;90;1043;780;40;15;120
Saison;200;1048;1003;584;2386;277;285;90;1034;750;;;
American Pale Ale;2082;13052;35274;512;5096;406;2423;60;113;700;125;75;200
Sweet Stout;1893;1077;102;794;3752;400;2366;60;1061;760;15;75;-1778
American IPA;120;1061;1012;646;5976;702;154;60;1047;700;;;
Sweet Stout;2082;1075;1026;645;3365;3935;2461;60;1063;700;20;;
American IPA;120;15;1156;4516;0;500;140;60;15;700;;;200
American Pale Ale;200;1052;101;552;331;1041;240;60;1044;700;10;;180
American IPA;1893;1057;1016;556;5834;902;946;60;1114;350;;;
Imperial IPA;2082;1085;1,019E+16;857;11386;1528;2839;60;1062;700;15;125;1556
Sweet Stout;210;1054;1014;514;6322;400;250;60;;350;;;200
American IPA;1893;1072;1012;783;6622;1013;2461;60;1055;700;15;;1944
Blonde Ale;2555;107;1,017E+16;686;3232;671;3691;60;1048;700;15;;
American IPA;100;1062;1014;633;7229;628;110;60;1057;800;10;;
Blonde Ale;1893;1061;1016;592;3095;471;265;90;1044;700;15;;
American Light Lager;1136;1119;1006;1488;0;0;1136;0;1119;1000;19;;
American Light Lager;3785;1056;1014;548;2718;2944;4732;60;1045;700;15;;
Sweet Stout;40;1061;1,019E+16;542;2959;3799;90;90;1,027E+16;750;29;;180
American IPA;140;1,066E+16;1016;65;7509;554;1733;60;1053;700;;10;200
American IPA;2082;107;1,009E+16;80;9163;736;3218;60;1,039E+16;690;;;1833
American Pale Ale;1893;1071;1,017E+16;708;6474;1301;265;60;105;600;125;;
Imperial IPA;2271;1082;1,019E+16;829;7405;859;265;70;107;790;125;10;
American IPA;5678;1064;1014;654;5902;658;4542;60;108;350;;35;2111
American Pale Ale;2082;1067;1,017E+16;655;3871;556;1514;60;1091;350;;75;1833
American IPA;2082;1057;101;614;5583;697;265;60;1045;650;;35;1889
Imperial IPA;2082;1083;1,017E+16;871;8029;822;265;90;1055;700;15;75;200
American Amber Ale;220;1057;1014;569;3467;1438;260;60;1048;800;341;10;198
American Pale Ale;2271;1071;1016;717;6338;544;3028;60;1053;750;;10;1556
American IPA;2082;1,066E+16;1011;716;6308;844;1893;60;1072;700;;35;2056
American Pale Ale;240;1052;1011;552;4158;139;280;60;1045;850;35;75;200
American IPA;800;1,066E+16;1011;72;4956;77;900;60;1058;750;;;
Imperial IPA;2271;1082;102;806;10472;795;2934;60;1063;720;15;75;1667
Imperial IPA;1893;1,086E+16;1022;85;14864;885;1136;60;1121;250;;75;1944
Irish Red Ale;2082;1088;1024;844;1995;1302;2839;60;1065;700;15;10;
American IPA;400;1058;1015;575;6971;76;600;70;1,039E+16;750;30;;
Sweet Stout;4164;1065;1016;641;203;400;5678;90;1048;700;15;35;200
American Light Lager;200;1047;1012;467;3064;657;300;60;1032;350;;;
American IPA;350;1057;1011;595;3622;779;400;60;1,049E+16;700;30;;210
Saison;1893;104;1012;365;291;611;1136;60;1,066E+16;350;;;
American Pale Ale;2082;1056;1016;519;4096;628;2839;60;1041;700;12;75;1833
American IPA;2082;1061;1015;614;5389;745;265;60;1048;750;125;75;
American IPA;2271;1084;1028;734;7545;875;3028;60;1063;700;15;;200
American IPA;2082;1051;1014;486;7337;659;265;60;104;650;13;;200
American Light Lager;210;106;1011;639;2719;1239;285;60;1044;750;30;;
Saison;2082;1052;1011;539;2742;582;2934;90;1037;710;;;
American IPA;2271;1068;1016;685;6569;868;3267;60;1047;660;;;
American IPA;210;1069;1011;786;12005;74;285;60;1051;650;;;200
American IPA;240;145363;332309;605;6492;586;290;60;121;750;33;;220
American IPA;1893;1058;1011;619;1878;912;2271;60;1,049E+16;900;;35;1833
American IPA;1893;1,066E+16;1013;703;7983;1279;2461;60;1051;750;15;;2111
American IPA;215;1057;1012;594;6505;1208;260;60;1047;720;;;170
American IPA;200;1056;1014;555;3779;366;284;60;104;700;31;;
American IPA;530;106;102;525;690;762;600;60;1053;300;;35;200
American Pale Ale;215;1045;1008;475;3705;774;265;60;1036;680;;;200
American Light Lager;3407;1064;1012;684;5483;142;1893;60;1,116E+16;500;;;
Saison;180;1052;101;545;2517;936;240;60;1032;700;;;
American Light Lager;190;1064;1016;63;0;583;260;60;1047;700;25;;
American IPA;4164;1054;1015;514;13864;682;4542;60;105;700;13;;
American Light Lager;210;1011;1003;11;0;49;110;60;1021;700;;;
American IPA;2082;106;1013;62;6519;612;2461;60;1051;700;125;;
American IPA;5000;1068;1013;721;5023;3219;6000;75;1057;650;60;;180
Irish Red Ale;420;1047;1015;421;2697;1491;480;60;1042;750;30;;190
American Light Lager;240;1083;1,019E+16;844;7665;3889;320;75;1062;750;34;75;200
American IPA;1893;1072;1018;703;3299;62;2233;60;1061;790;15;;
American IPA;450;1054;101;581;5882;100;600;90;1041;560;40;;180
American Pale Ale;205;106;1016;582;5344;576;300;60;1041;700;25;;190
Saison;1136;1063;1012;679;1915;383;1325;90;1054;930;125;75;200
American IPA;400;1062;1013;643;6741;708;300;60;1083;700;20;;220
American Pale Ale;2082;1058;1013;597;3541;526;2839;60;1043;750;14;;
Imperial IPA;2271;1084;1021;822;681;832;2839;60;1067;700;;125;200
American Pale Ale;2271;1047;1012;458;4485;562;2839;60;1037;600;15;5;2222
American Pale Ale;1893;1,059E+16;1014;584;0;61;2428;60;;760;;;
American IPA;2082;1,066E+16;1016;645;5677;337;265;60;1052;850;15;10;1444
American IPA;200;1062;1011;66;7558;804;250;60;1,049E+16;650;;10;180
American Pale Ale;946;1047;1,009E+16;50;4056;307;1136;60;1,039E+16;770;;;1389
American Pale Ale;2082;1055;101;583;4595;944;2839;60;104;650;15;;
American IPA;946;1062;1013;647;5484;944;1325;60;1044;650;;5;1556
American IPA;2082;1069;1,017E+16;683;2745;3226;3028;60;1048;350;15;;
Sweet Stout;208;109;1,029E+16;796;606;3877;270;60;1069;650;;;
Saison;2461;1048;1,007E+16;547;2281;34;3028;90;1,039E+16;700;15;10;2111
American IPA;150;1038;1008;39;9512;953;285;60;102;350;30;;200
Saison;2082;119259;2,06389E+16;525;1686;389;2574;60;97;640;13;;
Irish Red Ale;210;1047;1011;475;3179;1472;110;60;109;350;;75;210
Saison;1893;1037;1,007E+16;402;2281;308;265;60;1,027E+16;670;;;2389
American IPA;2082;1,076E+16;1026;666;5293;644;1136;60;114;800;;5;200
Sweet Stout;1893;1079;1026;694;2727;3813;1136;60;1131;350;;;1667
Sweet Stout;170;1071;1,017E+16;713;3185;500;189;60;1064;800;29;75;180
American Pale Ale;750;1057;101;626;5241;763;850;60;105;700;30;10;210
American IPA;1798;106;1013;614;8824;733;2233;60;1048;550;15;10;2056
American Pale Ale;300;1,066E+16;1011;726;4617;1209;200;60;11;850;25;5;210
Robust Porter;85;1063;1014;642;4155;3469;40;60;1133;350;;35;170
American IPA;2082;1073;1016;745;0;876;2839;60;1053;700;15;;200
American IPA;1514;1046;1,009E+16;491;4652;451;606;90;1115;700;7;;
American IPA;2082;1081;102;801;13665;4548;1136;60;1149;700;;5;200
American Pale Ale;2271;1061;1012;673;3558;562;3312;90;1042;770;15;;2111
American IPA;150;1067;1011;733;6334;367;190;90;1053;930;404;75;200
Saison;757;1052;1,009E+16;566;3174;707;946;60;1042;700;;5;2389
American Pale Ale;2082;1051;1014;489;2935;70;2468;60;1043;700;125;35;
Imperial IPA;2271;1078;1014;836;32183;787;3028;90;1058;680;125;10;200
American Pale Ale;265;1069;1,017E+16;682;4205;598;3218;60;1057;730;15;;
Irish Red Ale;2082;1057;1,017E+16;524;1702;1763;265;60;1045;750;15;5;1944
American IPA;1400;1048;1011;489;6066;1152;1800;60;1037;650;30;35;220
American Amber Ale;1817;1054;1013;527;3822;1595;1136;60;1,086E+16;350;;;2111
American Pale Ale;200;1056;1016;534;4494;815;250;60;1045;600;;;200
American IPA;2082;1063;1015;626;6305;514;2839;60;1046;700;13;125;200
American IPA;11500;106;101;66;5983;391;12000;60;1058;770;30;75;210
American IPA;2082;1065;101;725;3477;512;946;60;1143;650;;75;1889
American IPA;3785;1055;1014;541;4352;697;4542;60;1046;750;15;;
Saison;2082;1,059E+16;1011;64;378;74;3407;90;1036;700;144;5;6556
American Pale Ale;200;1,059E+16;101;647;3858;463;250;60;1048;750;25;;
American IPA;2271;1065;1018;616;484;605;2839;60;1052;700;15;35;1944
American Pale Ale;220;1046;1,009E+16;481;4046;92;320;60;1031;700;30;5;200
American IPA;1893;1,098E+16;1025;952;13864;1529;265;45;107;700;;;1833
Robust Porter;2082;1064;1018;606;3871;3447;1136;60;1074;350;;35;2111
American Amber Ale;200;1047;1012;454;3921;1602;120;60;1028;600;;35;160
American IPA;2082;1062;1012;655;5397;1256;3028;60;1042;700;15;;
American IPA;100;106;1011;637;5469;804;120;120;105;700;30;;220
American IPA;2082;1,059E+16;1012;617;6299;594;2839;60;1043;750;15;;
American IPA;2082;1067;1018;637;6994;746;265;60;1052;600;;;
American IPA;2082;1067;1014;693;7193;659;2839;75;1,049E+16;750;;10;
Irish Red Ale;4353;1052;1012;516;3627;1272;4944;60;1045;850;15;;200
Blonde Ale;3785;1048;1012;471;5719;553;4542;60;104;700;15;75;200
American Amber Ale;1893;1075;1014;794;3296;1631;2461;60;1057;750;21;125;2389
American Light Lager;4164;1031;1,007E+16;313;0;4943;4921;60;1026;350;15;;
American IPA;2082;1063;1012;675;12264;993;2839;60;1047;700;15;;
Irish Red Ale;150;1054;1014;532;2655;1187;220;60;1037;410;30;;
American Pale Ale;420;1053;1,009E+16;583;3251;588;420;80;1053;850;;;180
American Pale Ale;1893;1053;1,009E+16;575;5115;776;1514;60;1067;700;;;1889
American Amber Ale;230;134281;231609;595;2927;1199;280;60;111;750;30;35;200
American Amber Ale;2461;106;1015;581;3678;1648;3028;60;1048;750;15;75;1833
Blonde Ale;379;1082;1024;764;2179;832;946;60;1033;660;;;200
American Amber Ale;1893;1,059E+16;1015;584;4527;1795;265;60;1042;700;;;2278
American Pale Ale;170;1044;1011;438;3332;859;235;60;1032;560;375;;
American IPA;2271;1065;1018;619;5355;912;3028;60;1,049E+16;750;;;
American IPA;190;981917;1,69774E+16;429;554;483;220;60;85;350;30;5;180
Blonde Ale;2082;1064;102;568;6508;715;2839;60;1047;700;15;5;
Blonde Ale;4164;1047;101;492;2232;551;5186;60;1038;750;15;;1556
American Pale Ale;473;1053;1013;521;4652;81;899;60;1028;600;15;;
Blonde Ale;2082;1045;1012;424;1765;885;2271;60;1041;700;;;2389
American IPA;210;1057;1011;603;6192;483;110;60;1,108E+16;350;;;
American IPA;210;107;1,019E+16;672;804;144;285;60;;800;;75;220
American IPA;8706;1063;1016;62;0;638;10599;60;1052;750;15;;
American IPA;2082;106;1012;625;7024;1234;265;60;1047;700;15;;
Imperial IPA;100;1078;1015;83;11174;606;165;90;1047;700;40;;200
Sweet Stout;500;108;1,017E+16;818;3256;4125;550;60;1072;700;30;75;200
American Pale Ale;2177;1053;1012;539;4799;322;2688;60;1043;790;;10;1556
American Pale Ale;210;1056;1011;608;3892;797;250;90;1047;700;;10;180
American Pale Ale;1893;1,059E+16;1014;59;2598;1004;2461;90;1045;790;;;
American Amber Ale;2082;107;1013;746;10214;872;265;60;1055;700;15;35;1833
American IPA;3785;1079;1,019E+16;797;941;1054;4542;60;1,066E+16;700;11;;
American Pale Ale;379;1057;1018;51;17936;492;568;60;1038;680;;;1833
Robust Porter;2082;1,059E+16;1014;583;2846;500;1136;60;1,108E+16;350;;75;1667
Blonde Ale;1041;1046;1011;464;2217;579;1136;60;1,019E+16;350;;;
Imperial IPA;2082;108;102;783;5895;623;2763;75;106;720;15;;1722
Sweet Stout;2082;1073;1014;773;2474;1199;2839;60;1054;680;;;
American Light Lager;199491;10;10;0;0;3;211226;60;10;800;15;10;1833
American IPA;250;104;1008;426;3603;807;300;60;1033;780;33;;
American Pale Ale;100;1,049E+16;1011;498;5147;837;120;60;1041;700;30;;
American Pale Ale;250;1053;1,009E+16;576;3237;741;280;90;1047;750;;;200
Imperial IPA;1893;1085;1016;904;0;1599;1893;60;;750;;;
American Pale Ale;1893;1058;1014;578;3618;713;2839;60;1038;700;125;;
American Pale Ale;3785;1071;1013;761;3013;512;511;75;1052;700;15;5;200
American Pale Ale;2271;1051;101;544;5817;607;3028;60;1038;680;13;10;2111
Saison;946;1062;1008;705;0;50;1211;60;;690;;;
American Pale Ale;600;1052;1011;535;3365;648;700;60;1044;700;5357;;230
American Pale Ale;170;1041;101;406;15701;348;110;60;1064;350;;;200
American Pale Ale;2271;1068;1016;688;6447;532;3028;60;1051;750;;10;1611
American IPA;2082;1067;1016;668;6801;1476;1136;60;;350;;;
Imperial IPA;1893;1101;1028;953;21435;1143;2461;75;1078;650;15;;200
American Light Lager;210;1047;1012;461;1307;500;285;60;1035;350;30;;
American Pale Ale;3785;1061;1015;612;4929;628;530;90;1044;700;15;75;200
American IPA;2271;1063;1013;656;8082;483;2271;60;1063;720;;75;1944
Blonde Ale;3600;1065;1015;664;11172;36;4100;75;1057;700;30;35;180
American IPA;1000;1,059E+16;1014;598;5775;591;1200;60;1,049E+16;350;;;
American IPA;2082;1058;1014;571;6417;1367;3028;60;104;700;;75;1833
Blonde Ale;2082;1048;1011;489;1785;314;1136;60;;350;;35;
American Light Lager;2271;1,039E+16;101;379;0;412;2839;60;1031;350;;;
American Pale Ale;2082;106;1014;603;3203;588;2839;90;1044;900;;;200
American IPA;4164;1,076E+16;1015;803;4756;754;530;60;106;800;20;75;1833
American IPA;150;1052;101;548;3966;1003;200;60;1,039E+16;730;30;;
Saison;220;1062;1012;654;3116;375;320;70;1043;700;30;10;180
American IPA;3028;1056;1013;566;7958;658;3785;60;1045;680;125;;200
Saison;2082;1,066E+16;102;604;2962;974;265;60;1052;710;15;5;2111
American Pale Ale;1893;1072;1014;77;12149;929;1514;60;1091;350;;125;2111
American Pale Ale;50;1,059E+16;1,017E+16;561;2447;924;60;60;1,049E+16;750;;5;190
Blonde Ale;43154;1,039E+16;101;386;1883;358;46939;60;1036;750;15;;
American IPA;200;1,059E+16;1014;62;18036;879;280;100;1042;540;30;35;180
American IPA;200;1062;1015;651;8313;757;270;85;1046;670;37;10;160
Imperial IPA;2461;1081;1016;852;14059;863;3028;90;1,066E+16;800;;10;1611
American Pale Ale;230;105;1013;481;3402;581;270;60;1042;350;;75;180
Sweet Stout;1893;1069;1018;661;2377;4163;2461;60;1048;600;13;5;
American Pale Ale;265;1045;101;453;4689;327;3407;90;1035;750;127;75;1889
American IPA;2082;1069;1016;696;5821;633;2839;60;1051;670;;;2111
Robust Porter;2082;1046;101;473;352;3443;946;60;1102;350;;;
American IPA;2082;1071;1018;696;8153;61;265;60;1056;750;125;;2111
American IPA;2082;1058;101;631;8095;631;2839;90;1043;700;125;;200
American IPA;290;1062;1015;618;6384;1057;320;60;1056;780;33;5;220
American Light Lager;120;1045;1,009E+16;482;6404;298;150;60;1036;350;;;180
American IPA;100;1062;1012;655;7026;388;40;60;1,154E+16;350;;;220
American Pale Ale;200;105;1008;539;8042;506;250;60;104;700;30;;200
Saison;300;1054;1015;52;238;452;300;60;1054;670;;;240
American IPA;2082;1065;1021;609;8428;687;2461;60;;750;;;
American Pale Ale;946;1051;1012;522;3338;608;159;60;1031;650;15;;1944
Robust Porter;210;1,059E+16;1013;608;3186;4033;110;60;1113;350;;35;680
American IPA;1893;1065;1015;654;7228;51;2461;60;105;810;15;35;2222
American IPA;1893;1,059E+16;1012;617;12206;531;2271;60;1,049E+16;350;;;1778
American IPA;946;1056;1011;597;6874;1412;757;60;107;350;;;
American Pale Ale;90;1052;1015;494;3496;745;145;90;;700;;;200
American Light Lager;1893;1055;101;591;3449;544;2461;60;1042;600;15;;2111
American Pale Ale;1893;106;1,019E+16;528;6218;1244;265;60;;720;;;
American Pale Ale;3785;1069;1,017E+16;675;8119;921;4164;60;;700;;;
Saison;4164;1051;1,009E+16;555;2108;35;511;60;1042;750;18;;1833
American Pale Ale;195;1052;1,009E+16;555;3429;99;230;60;1044;800;;;220
American IPA;946;1061;1018;554;4666;774;1703;60;1034;20;;75;200
American IPA;4164;1067;1,017E+16;659;0;459;4694;60;1,059E+16;700;15;125;
Imperial IPA;1893;1077;1015;823;13392;624;1041;60;1141;350;;;
American Pale Ale;1893;1047;1011;468;2822;697;6435;60;1014;400;125;75;2111
American IPA;1893;1053;101;561;5284;825;946;60;1,106E+16;350;;;
American Pale Ale;250;1056;101;61;3319;1031;290;60;1048;750;25;75;190
Irish Red Ale;60567;1055;1012;559;1831;1404;60945;60;1054;720;;10;1889
American IPA;1893;1,059E+16;1015;581;4781;81;2271;60;1,049E+16;700;125;;200
Saison;2082;1046;1011;451;2825;77;2839;60;1034;550;15;;
American IPA;2271;1036;1005;407;521;931;2839;60;1,029E+16;590;;;1556
American IPA;2082;106;1014;603;7812;1556;2082;60;106;350;;;
Robust Porter;1893;1058;1014;567;3936;2727;265;60;1041;680;;5;200
Saison;2271;106;1,017E+16;571;1705;642;3157;90;1043;700;;10;2056
Imperial IPA;2082;1088;1016;946;3406;823;1893;90;;700;;;
Imperial IPA;4164;1079;1018;806;11313;1146;4921;90;1067;750;;10;200
American IPA;240;1062;1012;655;4852;2547;285;60;1053;800;30;;220
Saison;2082;1067;1014;701;3585;555;265;60;1053;750;125;35;2944
Saison;757;1053;1,009E+16;568;3356;581;1514;60;1026;720;;35;1944
